Class	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00978733518826638	14.0328403400489	0.0230527620090482	0	0.0125772100953073	0.00132035860939831	0	0	0	0	0	0	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.8787349170174	4.46522151424911	13.3850099415036	2.17997831586556	16.8338969786746	11.4580720123586	12.360874689014	17.896955074367	14.7912034928883	15.5652848086834	18.1110845104142	10.8992827806044	21.6848883224898	24.3535183379141	22.0312159709619	17.5837352806446	17.9071618037135	12.3532607411956	11.8303703266198	11.7909090909091	11.4474286473637	10.9434898299734	10.1457559302658	14.211411962674
k__Bacteria|p__Firmicutes|c__Clostridia	20.0906027600285	15.4486017068991	17.5244215197533	28.1734730755331	19.2626959948573	20.7626391327885	20.2356946444939	21.8061875820786	24.037714622452	22.5612258858941	20.9480488388796	20.7871023110403	16.3257093031055	12.5084966161303	11.8446460980036	13.6415079087063	18.1184792219275	21.2320192739212	13.5520642608233	12.5681818181818	20.3345785285041	22.8994723312136	20.6582833190435	15.5040538473306
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0237692426000755	0.00166364437937746	0.00720398812782757	0.0621611853993495	0.0195645490371447	0.0950658198766785	0.0314259525991882	0.0519194942430443	0.08303645568264	0.597436949879144	0.187534913414731	0.450560902347821	0.666711382386478	0.37385110973195	0.158257713248639	0.986230497696101	0.780725022104332	0.366110021966601	0.0930246293780639	0.104545454545455	0.116644765012477	0.184909574707978	0.123844908068972	0.0994339911274285
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0139819074118091	16.9209269826482	0	0.00144560896277557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.00139819074118091	9.64414646725116	0	0	0.00279493557673496	0.0475329099383393	0	0	0	0	0	0	0	0	0	0	0	0	0.010336069930896	0.00681818181818182	0.00147651601281616	0	0	0
k__Bacteria|p__Unassigned|c__Unassigned	0.262859859342011	0.231246568733468	0.0835662622827998	1.05818576075172	0.093630341820621	0.182209488096967	0.138797957313081	0.149650306935834	0.233037794980312	0.702330460163269	0.554624531162716	0.260528412922209	0.391709705546985	0.178798356828324	0.293284936479129	0.299102691924227	0.3342175066313	0.290526017431561	0.208197980036619	0.236363636363636	0.116644765012477	0.469038921210481	0.478708202343527	0.507368313701494
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0	0	0	0	0	0	0	0	0	0.0364846992292607	0	0	0.575491313971427	0.0591068948192807	0.0406533575317604	0.00538923769232842	0.655172413793103	0.1299100077946	3.38137144882169	2.36590909090909	0	0	0	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3.6772416493058	1.15956013242609	15.4482321413134	2.77123238164077	1.12496156963582	3.48838744603034	5.15123739688359	0.109947164279388	1.22411807248279	0.159620559128016	1.37658606655494	2.79838165879973	2.35562411965927	0.0768389632650649	1.31833030852995	0.382635876155318	4.10698496905393	4.12641424758486	0.0457740239796822	0.111363636363636	2.24873388751901	5.18874306589095	7.24969038772983	0.673091632247208
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.619398498343144	0.321083365219851	2.44647436821024	1.29092880375858	1.79015623689874	0.895203137172056	16.7578892235171	5.53095318083254	7.73578335520853	0.519906964016965	1.01747665788844	0.312634095506651	0.370246160037561	0.716671099683778	0.123411978221416	0.152245964808278	0.123784261715296	0.706238042374283	0.119603094914654	0.279545454545455	1.31262273539357	0.8884679565237	0.878822520720206	0.127479475804396
