Compound_ID	Name	Class_I	Class_II	Class_III	Class_IV	OS1	OS2	OS3	OS4	OS8	OS9	OW1	OW2	OW3	OW4	OW5	OW6	CS1	CS2	CS3	CS5	CS7	CS8	CW1	CW2	CW3	CW4	CW5	CW6	PS7	PS8	PS9	PS10	PS11	PS12	PW7	PW8	PW9	PW10	PW11	PW12
Com_11545_neg	Royal jelly acid	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	8430002.138	5553342.19	29234546.5	30201876.34	14081878.83	2913243.316	41475167.99	33870224.05	17828987.88	49945101.5	22464601.41	35119791.3	11627626.36	7561933.946	16468560.25	3587588.473	6995474.198	6980244.128	8068519.091	39985799.18	13812960.18	36630621.79	5964311.399	6418587.695	20206318.74	3508894.753	1776385.12	503558.5856	1938102.682	508186.3238	41592912.86	13350194.42	18652522.57	40448437.92	48065499.15	42157685.6
Com_1426_neg	"3-Oxo-7alpha,12alpha-hydroxy-5beta-cholanoic acid"	Lipids and lipid-like molecules	Steroids and steroid derivatives	"Bile acids, alcohols and derivatives"	"Dihydroxy bile acids, alcohols and derivatives"	14478083.74	39297990.76	41944708.62	33009302.82	74857287.07	52542175.12	28473347.33	47891685.18	36662864.04	34760458.12	49173744.27	43433178.19	40269420.79	55151072.56	38838079.93	39005288.7	108471533.7	92702441.14	50368108.54	75952871.58	29327151.99	60929396.36	39864986.3	43068366.96	61563650.36	63074257.18	56897704.22	74692731.17	60662107.96	72969399.03	32865618.08	47166083.49	38125277.47	49873252.85	51280135.69	69857001.31
Com_48764_neg	Ursolic acid	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	1268.291483	2706.007124	2851.887056	2158.537583	3317.936796	24138.76072	2764.568326	2637.701139	485915.0094	3389.427757	74942.59945	240203.6584	3414.291034	2995.402207	3666.073605	207072.6638	2845.070436	657965.8262	2996.136241	271896.4062	2896.245072	4129.08558	3196.052938	2311.269004	3672.160161	3873.359801	3386.88608	4261.576498	3891.898803	4040.099509	3701.608551	285965.4065	209453.2722	204273.1082	3182.211171	117908.8746
Com_8488_neg	Capric acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	1132848.622	3640148.943	1250033.879	1425761.625	2665881.773	1888692.38	1976648.929	2288715.756	2382358.885	1905743.225	2133582.569	2743284.789	2775110.587	1333958.29	12852291.82	6302914.474	1115180.268	1164028.501	2287328.964	1712537.35	1123558.707	3043029.303	1455442.7	1506025.616	5432022.088	6192596.595	5775853.11	4446503.596	5543333.67	5172103.737	2289789.949	2874601.521	2541188.39	3586910.112	5016926.869	2946042.069
Com_3115_neg	Glycerol 1-hexadecanoate	Lipids and lipid-like molecules	Glycerolipids	Monoradylglycerols	1-monoacylglycerols	922343.5679	6164536.188	8148856.175	11420145.58	14110650	5305372.995	14214305.7	13379746.06	16423601.81	46019948.18	21531324.15	26539759.64	8235774.153	6477281.778	5865373.983	10059369.35	12345759.93	10012541.41	13025029.5	29479850.9	19343432.34	49560594.03	13300803.37	9511740.34	20240650.67	17628910.39	16381349.11	15077224.48	9582167.399	11023468.78	46656746.46	44078385.01	55465743.53	36760522.9	34234736.04	30972217.32
Com_483_neg	Miquelianin					424773.3838	2154375.085	2168275.969	1889979.189	1505532.609	1504516.108	1930599.11	1913584.306	1670242.522	1001822.066	1234237.905	1891160.805	1322738.83	1211554.576	1759305.179	1871388.592	1342737.8	1411881.088	1736801.161	375888532.2	2757882.595	1924433.979	1722009.622	2368063.082	1418900.452	1406221.808	1476027.217	1386333.244	1402772.03	1508942.036	909857.5568	1723071.455	973234.4056	1393875.034	1285968.783	1356739.063
Com_90_neg	Arachidonic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	32306888.08	323577182.1	198133244.8	52108941.15	398079071.5	1224519281	30542559.82	65970182.55	147403622.9	90165526.27	33404239.95	212417773.3	63139523.61	45528812.32	245449685.7	186018426.5	65303513.67	59879060.4	59903828.5	64617572.69	73987225.87	82009989.31	91606484.85	26179366.6	165432039.8	193684126.7	392783856.3	165887597.5	204952663	301451422.2	176801502.1	81379405.8	209952008.1	31927232.47	22387424.16	41098958.64
Com_11036_neg	Mag (18:1)	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	Lineolic acids and derivatives	453941.4424	3738026.929	2600276.552	5385169.971	1779710.751	1674548.246	4616957.129	3285441.581	3002966.194	3813381.901	5786816.428	6980887.325	4204261.171	974111.5792	3796410.201	5448924.598	3360235.951	3470508.708	4886408.37	6372869.53	2711641.193	5184737.496	2661450.116	7553967.911	3172400.932	1954031.262	408676.6783	1340874.921	1005607.998	2748336.875	3923652.294	3305261.869	4174595.355	4675025.47	4656951.578	4881602.102
Com_3848_neg	Spiculisporic Acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Tricarboxylic acids and derivatives	10765613.7	34542364.26	68156354.81	99665538.13	17627436.94	35599204.48	77005910.27	105702404.4	114747758.9	145494956.1	112205626.8	120094524.3	101688583.7	60940025.71	72164559.1	36878751.63	47922581.14	69947199.91	85618093.58	146668798.4	168186037.9	169414798.6	79670844.72	57709135.12	94853654.89	82764447.4	26585100.79	72012744.38	73158012.03	85196386.68	168117682.7	73276649.65	188103726.7	89050239.44	101627851.3	94385633.07
Com_1128_neg	Traumatic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Medium-chain fatty acids	23454490.74	149885812.6	94375122.93	83409186.22	121170449.5	39610731.54	103607411.5	90134341.54	88491674.83	121694826.1	60178179.39	84981291.73	40479093.7	92939717.85	65549766.2	60282459.04	62375869.66	66792208.36	224571019	77592215	67910471.63	50050659.96	234474807.7	81712925.64	62718601.82	42116833.96	55412693.22	33609858.76	32301450.27	42057655.42	28580231.65	69327797.11	34675640.9	147955112.3	108601016.7	119406728.5
Com_520_neg	12-oxo Phytodienoic Acid	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	200674.4512	263282.4214	203506.9771	322861.3658	1154185.726	396686.8953	199488.7403	256674.4504	419749.394	1081716.405	477167.3637	739396.0196	498075.5876	221988405.7	1962617.315	892415.6723	279942.9499	321713.7394	24848749.27	605318.3105	616433.5297	810168.3625	24947279.59	73653289.13	1019900.187	970212.2552	1412724.828	1127953.316	1346385.429	961386.0103	528475.2773	232693.7928	615015.3177	1296812.691	1177054.699	1461403.848
