Table S7. CAZyme																																				
CAZy_Family	CW1	CW2	CW3	CW4	CW5	CW6	OW1	OW2	OW3	OW4	OW5	OW6	PW7	PW8	PW9	PW10	PW11	PW12	CS1	CS2	CS3	CS5	CS7	CS8	OS1	OS2	OS3	OS4	OS8	OS9	PS7	PS8	PS9	PS10	PS11	PS12
AA5	272.2964408	185.1778777	311.7456922	229.0728369	176.998771	201.9037688	227.1755198	207.0688367	203.9834958	164.8349662	159.6563176	207.4685709	139.1006909	189.270302	134.1014082	266.298658	245.4901244	229.1746525	158.9786394	320.9108587	112.9365597	183.2171323	247.6592931	300.4950245	138.6217155	242.6784491	224.8913134	174.2534277	185.4074421	65.05699294	248.6781552	247.2406079	247.3775608	255.3908739	221.2194735	247.2127095
PL42	248.6313637	118.6377705	114.9942551	249.2406919	187.2005597	269.54256	194.2014175	225.9367755	176.698772	232.0995992	382.506259	57.79912415	185.9174644	200.232191	196.2583195	158.0075866	131.9253911	183.2502244	153.0244805	174.8535844	162.1377011	60.10962648	48.17278567	57.99431071	119.9479486	12.51114102	264.8367533	91.89158322	46.10921908	10.31685122	142.065215	143.8460466	156.408413	183.5928393	115.6799616	125.2612593
GH138	139.6837748	42.74161312	51.47459223	92.6310837	128.1846957	210.2900395	164.1050235	101.6952522	108.1159163	81.30065381	111.9001048	56.43603096	43.27076197	45.55999005	62.30791702	48.42521702	90.5502114	119.1911847	129.6248434	86.5900709	154.294672	31.68029574	35.59392675	36.29867853	0	23.1448473	221.5676624	45.92749951	60.99248629	0	72.52628858	72.87604587	68.97665008	55.60311426	23.14716507	27.92525838
CBM75	4.38863292	4.02962122	11.49445937	4.76283294	11.24368057	10.66020559	18.70252343	33.65938275	11.83644395	1.76225363	9.02762079	0	8.82244579	10.55365555	54.01748161	6.39516943	0.78979175	11.61935447	10.51363839	2.9413184	0	0	4.54106083	1.0287259	0	0	4.21189737	9.31037324	21.23851334	0	12.47428146	22.01781396	14.99775241	9.1570458	15.76579645	20.19475977
GH139	134.9851148	41.13600408	55.31721478	104.3043505	150.3852389	247.3417142	164.1146319	95.00922037	103.7218592	124.0814184	115.8908041	68.9312227	37.19081083	63.50763903	50.94673104	58.36891548	61.53488258	113.6855051	181.3172753	114.1003231	179.4793561	39.02235978	48.19740705	42.77562511	0	60.90833164	191.8055771	53.01166457	80.05035274	0	73.04062904	80.08686741	107.3152461	78.45747093	40.49760224	38.59600342
CBM56	65.10439825	39.4060908	62.86949052	55.24133333	74.37902511	87.62118664	66.55395344	108.45621	74.34694647	44.99291759	39.4204566	69.30229907	67.0875181	87.10863121	99.74645505	48.67116564	207.0443417	87.78766529	69.5864069	74.74826429	28.53029309	72.8640619	46.60522256	63.721458	2.78636413	33.20663693	34.56906953	66.45283011	51.22658093	48.9962549	85.55112627	119.9345466	57.2258464	92.34523482	106.220536	118.306461
GT107	22.56094004	1.39907192	16.70810195	38.81741622	9.91227882	5.56185694	22.82223968	30.92077005	22.08004783	29.3990336	27.03329873	7.37602919	14.13914387	27.62463849	2.97615274	24.6855737	23.13399517	66.15602098	8.13199866	0	0.81620814	0	0	0	0	14.02977299	35.38444498	0	0	0	17.13048402	12.58461186	1.09359611	3.6935697	1.75489687	6.1889284
GH144	136.1560678	162.9861792	139.9371208	72.37375577	95.66787733	201.3468707	199.6435039	170.0295983	149.6156783	404.047085	122.0646971	57.98041205	128.7915772	144.7560878	156.5020965	94.47105689	340.1701175	69.17418979	131.5001398	184.1511344	213.9376977	97.11168572	77.81133605	57.33544408	2237.538118	100.7890316	208.9707747	150.4205877	81.6480224	164.6572886	302.2982482	272.3209291	414.4695303	215.6082448	106.9742684	137.2908254
GH135	21.39307879	191.8931636	93.15258268	160.5911588	21.89396013	17.24706932	22.41714296	50.67132581	58.54378106	52.36427422	107.651333	579.2678813	27.25528517	50.22566105	30.95462528	13.90609597	36.91797013	35.94094263	39.35468649	10.40274965	9.51373825	12.75323732	54.77041653	39.68262898	0	56.66890639	40.87683271	1000.906953	16.30215227	42.86292771	20.59696672	29.18920093	8.50756196	8.45793646	18.86414546	21.67814054
GH93	40.33347821	225.308679	98.58167645	107.7118795	47.85752342	76.1702017	97.7099273	110.1223427	120.827038	35.48800983	74.09664323	360.6210592	32.3751038	146.8604771	56.30499762	25.34820838	47.57255046	30.89544694	46.93630863	26.59699388	10.5200791	24.86221615	33.79262043	29.66158237	17.33617215	37.53564817	42.99432103	906.9604244	72.48341801	0	76.5067909	48.38629783	83.08495117	73.08841578	89.23057128	77.24165723
GT50	31.78702524	69.57048192	71.57388615	81.74120499	74.89277296	71.26358304	41.36292664	73.03701459	88.88424357	74.40268603	67.02085837	199.1104637	124.4939744	116.3316673	138.8680344	203.9377531	54.15377476	153.9873143	115.5070751	107.7029887	79.00263001	369.0083132	1114.220604	1330.753951	24.23738379	309.8974508	78.9875038	76.40701373	162.0582199	627.5124436	98.68738894	128.8520094	82.00670312	114.5247177	142.6842903	112.9874466
GT85	0	1.31203289	0	2.30925234	0	0	1.67453979	0	0	1.72123637	0.5884992	4.06209824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.61876086	0	0	0	0	0	0	0	0
CBM89	113.7242211	149.8233826	322.0752502	119.370172	101.9442213	115.1295741	202.6346175	157.2293078	105.5934009	139.0988356	130.3430458	17.84364105	191.5012409	182.6069856	271.9081526	51.49946028	244.7234429	342.1315669	126.8921643	166.1166422	82.70668797	154.9625795	57.33407894	61.63423987	0	10.88951435	87.79357997	71.08684787	19.89130145	0	113.6615667	108.8517206	127.1607169	178.0140494	191.7693399	187.3447218
CBM60	14.8197072	0	0	3.17577178	13.37687022	0	32.88957892	3.70325126	4.3899779	8.09168777	8.1145633	3.15019864	9.26769913	3.17682273	1.47428053	10.71924697	15.20592048	19.64470647	5.74105375	0	39.10147105	0	0	0	0	1.4274149	2.82842305	0	4.39474693	0	20.14045026	4.64054786	0	2.86735777	4.64325961	28.87457173
