Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter	0.00419380993653368	0.0316906987799081	0.0447485420636295	43.791536973164	0.157115922984631	9.37512573934736	0.00625293106143505	0.0139984135131352	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0202191015366517	0.00378787878787879	0.00747421396183168	0.011490554763984	0.0017080877957127	3.03989315370768	0.100250626566416	0.00278644672313865	0.0371850887793995	1.38093202223172	0.27266188253793	0.0125121211173324	0.253218884120172
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	0	0	0	2.57283867530355	0	0.00268243941039982	0	0	0	0	0	0	0	0.00498280930788779	0	0	0	0	0	0	0.00427533133817871	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	9.15089328151648	0.899223577879892	4.47341070500606	1.04175429741174	3.64794606638862	0.901299641894339	1.88213224949195	2.92566842424525	33.6064968623108	0.946880918005737	2.70396459673981	5.11359458863319	1.52840909090909	1.643081369276	2.95766879624948	2.78759928260313	2.64792985308635	2.27067669172932	2.48690370040125	2.41703077066096	3.84779820436084	4.80587477626671	5.05802496168163	2.63090128755365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_Incertae_Sedis|g__Phocaeicola	0	0	0	0	0	0	0.0312646553071752	0	0	0.0525003281270508	0	0	0	0	0	0	0	0	0	0	2.09063702436939	0.0736019805623861	0	1.66094420600858
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_S24-7_group|g__Unassigned	0	10.509427982887	0.379640856862405	0.0028041838422927	1.06410329657773	0.059013667028796	0.0781616382679381	2.30507209182959	0	0.142500890630566	16.1994275390268	2.32887287699434	0.854166666666667	0.0797249489262046	0.595210736774371	1.20249380818174	1.42558504151908	0.474519632414369	0.0278644672313865	0.185925443896997	0.123984608807183	2.86378615279102	0.0344083330726641	0.171673819742489
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae_UCG-004	2.93147314563704	0.562509903343369	2.42363877822045	0.0154230111326099	4.19356681711707	2.55099987929023	0.481475691730499	0	0	0.290626816417603	0.722681228558089	0	1.71401515151515	1.96571827196173	0.535459852001655	4.69553335041421	3.25184367922885	2.71010860484545	2.51894783771734	1.9196802082365	2.82599401453613	1.36163664040414	4.26663330101035	0.751072961373391
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	6.10478933094752	0.190144192679449	4.34782608695652	0.00981464344802445	0.81843112609267	2.34713448409984	5.99343442238549	2.93033456208296	9.37799926172019	1.32750829692686	0.675991149184954	4.25520182339534	0.59469696969697	1.09497234540834	1.53743622742106	0.445810914681015	0.679403054410313	0.950710108604845	1.89478377173428	1.10160825508971	1.03890551517743	1.69953664207691	4.1477681503957	0.261802575107296
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_RC9_gut_group	0	8.20392964664871	5.27311045672383	0.0644962283727321	3.39656058961321	7.80187502514787	2.61372518367985	10.2655032429658	0	4.78315489471809	6.38639085686446	8.63539445628998	6.68181818181818	2.31326922118691	5.2465873052351	4.7074899649842	6.74176877068695	5.53550543024227	2.52452073116362	4.95491307985498	3.7152629328773	3.56133219584818	7.75125903218743	4.30042918454936
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0	0	0	0	0.207107353025196	0	0	0	0	0	0	0	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus	0	0	0	3.37203107035697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__bacterium_ID4391	0	0	0	3.54869465242141	0	0	0	0	0	0	0	0	0	0	0	0	0.00580686371290866	0	0	0	0	0.00167277228550877	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_R-7_group	4.53910028797495	0.233718903501822	0.115480108551302	0	0.0856995943552534	0.014753416757199	0.121932155697983	0.0606597918902524	0	0.315001968762305	0.188790320943546	0.0900669068450849	0.0625	0.069759330310429	0.034471664291952	0.155435989409856	0.0900063875500842	0.0902255639097744	0.0961324119482835	0.167332899507298	0.393330483112441	0.0920024757029825	0.134505302011323	0.175965665236052
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	3.40956747840188	0.0184862409549464	0	0	0	0.00134121970519991	0	0.00466613783771173	4.02547065337763	0	0.00203000345100587	0.00735240055878244	0	0.00124570232697195	0	0	0.00580686371290866	0	0	0	0	0.00167277228550877	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium_10	0.282383202393268	0.0343315903449004	0.0461920434205208	0	0.0614180426212649	0.0979090384795933	0.165702673128029	0.0699920675656759	0	0.0825005156282227	0.0893201518442581	0.123152709359606	0.473484848484849	0.478349693557228	0.243599760996461	0.464599880433854	0.0464549097032693	0.200501253132832	0.117030762371823	0.0836664497536488	0.0940572894399316	0.326190595674211	0.165785604804655	0.150214592274678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_AC2044_group	0	0.202028204721914	0.353657832438363	0	0.896989087584985	1.21648627261632	0.287634828826012	0.51327516214829	0	1.18500740629629	0.253750431375733	1.22233659289758	0.0965909090909091	0.0635308186755693	0.110309325734246	0.476556495003843	0.21485395737762	0.105263157894737	0.0431899242086491	0.246351213163521	0.49593843522873	0.824676736755825	1.4076136256999	0.609442060085837
