Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Lachnospiraceae_UCG-008	0	0	0	0	0	0.00134121970519991	0	0	6.3953488372093	0	0.00203000345100587	0	0.00279638148236182	0.00166364437937746	0.00144079762556551	0.00289121792555114	0.00419240336510243	0.00528143443759325	0.00261882938326568	0.009162263689949	0.0107143813784052	0	0	0.00613008030405198	0.00148506764483122	0.00167757087736957	0	0.00174635884181482	0.00333105711097417	0	0	0	0	0.00139627752412069	0.00169554749228526	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Marvinbryantia	3.69614449073168	0.0118840120424655	0	0	0	0	0	0	0.201181247692876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148506764483122	0	0.00166264859921856	0.00174635884181482	0	0	0.00229074082558299	0	0	0	0.00169554749228526	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Roseburia	0	0.209950879416891	0.173220162826953	0	0.161400902702394	0.190453198138387	0.206346725027357	0.200643927021604	0	0.448127800798755	0.298410507297862	0.319829424307036	0.374715118636484	0.60390290971402	0.331383453880068	0.481387784604265	0.416445400933508	0.376302203678519	0.455676312688228	0.461167272394099	0.358931776176573	0.37852875450358	0.195515122496209	0.236008091706001	0.496012593373628	0.422747861097131	0.379083880621831	0.401662533617408	0.101597241884712	0.294885429759257	0.38255371787236	0.254459034496003	0.205326965890346	0.184308633183932	0.398453660687036	0.746027346637103
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Tyzzerella_4	3.7604495764252	0.573073469603338	0.702985160806051	0.00420627576343905	0.358509969719477	0.894593543368339	0.31577301860247	0.317297372964397	0.0073827980804725	0.851255320345752	0.570430969732649	0.395191530034556	0.520126955719299	0.683757839924138	3.36570325332104	2.0238525478858	1.79714357584058	0.979706088173548	1.2439439570512	1.92102128699264	1.48929901159832	1.09454097687782	0.602505785651584	1.16471525776988	2.21572092608818	1.79332326790807	0.894504946379583	1.1438650413887	0.134907812994454	1.84988236810725	1.99065377743162	2.06687951604772	0.529466726649825	0.693949929487985	1.63111668757842	1.85005543237251
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae|g__Unassigned	6.87505242262421	1.76411556541488	2.03678041457359	0	1.07410158258584	2.71596990302982	1.37877129904643	0.867901637814381	0.217792543373939	1.71751073444209	1.55295264001949	1.54216601720462	1.35624501894548	1.02314129331714	0.700227646024839	1.39790386700398	1.06347298694765	2.06768158231776	0.989917506874427	1.09641755489723	1.00447325422548	1.08998038947416	0.706248503710797	1.26279654263471	1.81178252669409	1.4058043952357	0.699975060271012	1.65205546435682	0.666211422194834	1.69035418479487	1.66307783937325	1.90604220179082	1.34154641196895	2.34853879557101	1.47682186578046	1.84543606799704
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Methanobacteriaceae|g__Methanobrevibacter	1.34900886291833	1.13030158981672	1.11438304752006	0.398194105605564	0.332800091412901	0.712187663461152	0.540878536814132	1.76846624049274	1.01698043558509	0.170626066412915	1.72347292990398	1.56054701860157	0.341158540848143	0.207955547422183	1.19442123159381	0.335381279363932	0.641437714860672	0.454203361633019	16.1503208065994	5.24386891854748	7.07952749578121	0.209787020568249	0.690288085547841	0.275853613682339	0.304438867190401	0.654252642174132	0.611854684512428	2.72781251091474	2.00196532369547	0.124077475909633	0.201585192651303	0.24725736370838	1.15467580256313	0.721875479970399	1.07836820509342	1.53824833702882
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Methanobacteriaceae|g__Methanosphaera	0.813599127687533	1.50134685469815	1.10572203937872	0.231345166989148	0.107124492944067	1.02335063506753	0.0125058621228701	0.130651859455928	0.276854928017719	0.0806255039093994	0.996731694443881	0.270200720535255	0.588638302037164	0.158046216040859	1.39757369679855	1.10444524756053	1.53441963162749	0.599442808666834	0.659945004582951	0.308462877561616	0.717863552353146	0.415013453732841	0.518713590296066	0.156317047753326	0.227215349659177	0.161046804227479	0.0980962673538948	0.403408892459223	0.193201312436502	0.111186309581359	0.224492600907133	0.244856806779173	0.318372149358065	0.277859227300018	0.230594458950795	0.196322985957132
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Micrococcaceae|g__Arthrobacter	0.00419380993653368	0.0277293614324196	0.0346440325653906	39.1281792434312	0.104267839798892	8.29142021754584	0.00312646553071752	0.00933227567542345	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0183810013969561	0.00978733518826638	0.00332728875875493	0.0230527620090482	0.00144560896277557	0.0139746778836748	0.00132035860939831	0	0	0	0	0	0	0	0	0.00332529719843711	0	0	0	0	0.00240055692920758	0.00230704456056569	0	0.00169554749228526	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Nocardiaceae|g__Rhodococcus	0	0	0	8.58921510894254	0.00142832657258756	0	0.00312646553071752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Prevotellaceae|g__Prevotellaceae_UCG-004	2.93287108228255	0.537421433475942	2.03100640914602	0.0224334707383416	4.21784836885105	4.3723762389517	0.537752071283414	0	0	0.350627191419946	0.682081159537971	0	0.717271850225808	0.956595518142042	1.1612828862058	0.380195157209975	3.59149221610442	2.39777123466734	0.379730260573524	0.604709403536634	0.238394985669515	2.00665845760934	1.48032878461416	1.97695089805676	1.28012830984451	6.78241905720517	2.55216559980048	2.59508923893682	3.61752802251795	1.62267556157143	1.50730746323361	0.77297933120484	2.06365135942601	5.26815509850738	4.3016039879277	4.3930155210643
