OTUID	All	CC	OC	PC
ASV_382	0.067547	0.13049619	0.04684374	0.02530225
ASV_467	0.060612	0.17884690	0.00298971	0.00000000
ASV_179	0.07624	0.08952940	0.07757417	0.06161543
ASV_366	0.072926	0.02438980	0.12017580	0.07421271
ASV_466	0.073157	0.12661557	0.06421713	0.02863750
ASV_438	0.067081	0.02378390	0.08704685	0.09041323
ASV_260	0.06022	0.06303731	0.06764761	0.04997442
ASV_881	0.067611	0.05566903	0.03223644	0.11492838
ASV_380	0.111005	0.0007386159	0.3303169710	0.0019592875
ASV_609	0.067558	0.003389451	0.186067680	0.013217972
ASV_205	0.071514	0.06065592	0.09502883	0.05885810
ASV_523	0.064604	0.09724908	0.05724923	0.03931342
ASV_447	0.06473	0.07338530	0.05951177	0.06129328
ASV_527	0.081325	0.08222014	0.09768315	0.06407233
ASV_512	0.070852	0.03292669	0.08005975	0.09957034
ASV_280	0.089632	0.05589006	0.08135897	0.13164612
ASV_160	0.069033	0.06790357	0.07057394	0.06862035
ASV_607	0.061421	0.177746376	0.004423564	0.002091631
ASV_3485	0.072229	0.05088329	0.03595825	0.12984415
ASV_477	0.051399	0.0000000	0.0000000	0.1541979
ASV_360	0.071679	0.07883892	0.05790767	0.07828985
ASV_648	0.112385	0.0001879162	0.3319700542	0.0049969434
ASV_293	0.066854	0.00000000	0.05604431	0.14451823
ASV_204	0.066855	0.06683980	0.07370947	0.06001524
ASV_109	0.068882	0.04479209	0.06580110	0.09605282
ASV_307	0.068621	0.05270718	0.04470028	0.10845516
ASV_195	0.066292	0.05787965	0.06121435	0.07978180
ASV_403	0.060296	0.02774580	0.07266430	0.08047817
ASV_454	0.072028	0.02424802	0.15865901	0.03317733
ASV_261	0.062214	0.12408004	0.03155861	0.03100329
ASV_194	0.067649	0.05312999	0.09113149	0.05868517
ASV_616	0.063222	0.14670123	0.02502007	0.01794519
ASV_555	0.070825	0.08090442	0.08910942	0.04246165
ASV_549	0.063532	0.001246802	0.163883015	0.025465869
ASV_312	0.064311	0.04732263	0.08691711	0.05869370
ASV_254	0.069076	0.05749064	0.07065870	0.07908011
ASV_231	0.063066	0.08682768	0.03741680	0.06495376
ASV_311	0.061264	0.05464607	0.10852620	0.02062024
ASV_130	0.071515	0.03398489	0.12017889	0.06038046
ASV_545	0.054156	0.09285330	0.00000000	0.06961468
ASV_246	0.067222	0.09142921	0.04157587	0.06865961
ASV_437	0.057054	0.09713983	0.03875125	0.03527124
ASV_528	0.054591	0.000000000	0.007388078	0.156383457
ASV_1744	0.064371	0.04050368	0.07208319	0.08052571
ASV_449	0.052706	0.08339420	0.03444334	0.04027926
ASV_377	0.054929	0.08786717	0.02728928	0.04963107
ASV_99	0.07154	0.02704407	0.12695631	0.06061829
ASV_483	0.066629	0.07741730	0.04738492	0.07508452
ASV_371	0.059766	0.07385493	0.05132865	0.05411295
ASV_193	0.060872	0.07930263	0.05009824	0.05321655
ASV_302	0.052898	0.06025523	0.04437051	0.05406927
ASV_444	0.051485	0.05105284	0.08219615	0.02120667
ASV_357	0.061741	0.06379198	0.08023013	0.04120213
ASV_80	0.066384	0.10842744	0.04487620	0.04584778
ASV_274	0.069488	0.0000000	0.0000000	0.2084649
ASV_367	0.05521	0.092803023	0.002602542	0.070224322
ASV_186	0.077126	0.02175244	0.18668011	0.02294536
ASV_348	0.055263	0.08048424	0.07169598	0.01360867
ASV_361	0.057522	0.05569787	0.07088563	0.04598341
ASV_249	0.06399	0.03218038	0.14300412	0.01678653
ASV_580	0.045446	0.0054181320	0.1301754366	0.0007447952
ASV_138	0.055208	0.07623904	0.03778603	0.05159748
ASV_802	0.046562	0.002393772	0.133059334	0.004232073
ASV_328	0.060513	0.05496564	0.07254605	0.05402766
ASV_533	0.049727	0.05303945	0.04067191	0.05546833
ASV_516	0.052155	0.08180799	0.03490827	0.03974731
ASV_340	0.06662	0.07145561	0.04801223	0.08039110
ASV_255	0.059909	0.03856851	0.04091920	0.10023869
ASV_208	0.057277	0.05023212	0.02397366	0.09762421
ASV_355	0.06291	0.06502194	0.05696659	0.06674169
ASV_406	0.046291	0.09651712	0.01189960	0.03045532
ASV_323	0.057319	0.06606320	0.02058173	0.08531354
ASV_5387	0.060511	0.03345326	0.10742914	0.04064946
ASV_631	0.057066	0.1711974	0.0000000	0.0000000
ASV_590	0.059106	0.06654481	0.05813242	0.05263955
ASV_619	0.057569	0.05655841	0.05476031	0.06138766
ASV_329	0.055996	0.09080174	0.02214519	0.05504227
ASV_519	0.05962	0.04258972	0.01595782	0.12031199
ASV_417	0.048572	0.05601747	0.01089085	0.07880799
ASV_415	0.060289	0.03778941	0.06778622	0.07529160
ASV_762	0.048096	0.0001879162	0.1427516728	0.0013485903
ASV_1939	0.046048	0.068156768	0.008931436	0.061054354
ASV_649	0.041632	0.000000000	0.121786730	0.003108129
ASV_368	0.052008	0.07442045	0.04623576	0.03536850
ASV_573	0.055019	0.085242464	0.077232994	0.002582552
ASV_482	0.056469	0.099364946	0.063595132	0.006445477
ASV_2166	0.047785	0.0614355565	0.0006597314	0.0812606157
ASV_180	0.06742	0.04842367	0.09719110	0.05664525
ASV_198	0.065398	0.04956014	0.10026047	0.04637211
ASV_446	0.054531	0.10894673	0.01862494	0.03602263
ASV_332	0.052838	0.107048343	0.008827408	0.042638228
ASV_369	0.056726	0.05363177	0.07826280	0.03828412
ASV_305	0.056778	0.09109168	0.03220053	0.04704162
ASV_77	0.062539	0.05232054	0.04287923	0.09241740
ASV_484	0.057044	0.05662203	0.02495044	0.08956080
ASV_606	0.044532	0.03737474	0.01637158	0.07985072
ASV_137	0.050174	0.04266174	0.07766427	0.03019481
ASV_334	0.080274	0.01310749	0.12598997	0.10172425
ASV_294	0.050503	0.08183613	0.05276285	0.01690903
ASV_390	0.056339	0.00000000	0.06510538	0.10391171
ASV_461	0.044929	0.09891941	0.01518483	0.02068257
ASV_3779	0.057293	0.05864962	0.07798748	0.03524076
ASV_612	0.060359	0.07260185	0.06521921	0.04325453
ASV_6503	0.053378	0.05153639	0.05547514	0.05312156
ASV_221	0.049557	0.06586518	0.03746021	0.04534685
ASV_326	0.05692	0.06646032	0.05678969	0.04750929
ASV_541	0.051489	0.05546655	0.03555799	0.06344190
ASV_427	0.053368	0.075007074	0.076933924	0.008163004
ASV_363	0.046748	0.05190264	0.03152917	0.05681237
ASV_310	0.056794	0.03892770	0.07857018	0.05288389
ASV_624	0.066883	0.02226170	0.07584769	0.10254081
ASV_171	0.045878	0.116811232	0.016619850	0.004202169
ASV_568	0.050562	0.05107308	0.06650395	0.03411022
ASV_539	0.057713	0.06261698	0.05906256	0.05145852
ASV_389	0.054384	0.04250517	0.04118511	0.07946226
ASV_301	0.048559	0.04617064	0.03078935	0.06871650
ASV_755	0.053949	7.368111e-05	1.540851e-01	7.689407e-03
ASV_282	0.047628	0.05320478	0.05432250	0.03535761
ASV_407	0.055354	0.06149883	0.07422083	0.03034273
ASV_598	0.046998	0.03840084	0.05399923	0.04859431
ASV_701	0.040416	0.0001879162	0.0043708997	0.1166895207
ASV_356	0.047873	0.000000000	0.008329176	0.135289276
ASV_577	0.035686	0.087072135	0.003743862	0.016241391
ASV_559	0.042083	0.07019700	0.02792249	0.02812845
ASV_511	0.050815	0.07902401	0.03050173	0.04291907
ASV_575	0.055736	0.0816198377	0.0854770730	0.0001122849
ASV_698	0.058738	0.07315514	0.03882427	0.06423480
ASV_426	0.057392	0.06831176	0.06912969	0.03473321
ASV_956	0.058685	0.170605948	0.003977596	0.001470874
ASV_627	0.048764	0.04634528	0.03494360	0.06500203
ASV_562	0.052897	0.06813379	0.03601569	0.05454164
ASV_801	0.043591	0.128202545	0.000000000	0.002569054
ASV_1737	0.052922	0.06833535	0.04180834	0.04862356
ASV_211	0.054732	0.05117842	0.03821891	0.07479788
ASV_226	0.054876	0.04870275	0.05846704	0.05745922
ASV_734	0.046492	0.0422486408	0.0969781999	0.0002480454
ASV_342	0.051258	0.002098224	0.135653291	0.016022567
ASV_450	0.045157	0.01710848	0.04325106	0.07511133
ASV_608	0.053685	0.04972902	0.03917776	0.07214777
ASV_203	0.056334	0.03660424	0.09790553	0.03449099
ASV_561	0.042678	0.1022520629	0.0002787954	0.0255025757
ASV_592	0.043772	0.032215700	0.090592039	0.008509331
ASV_583	0.038629	0.0006217649	0.0000000000	0.1152646384
ASV_317	0.050868	0.02138613	0.03670061	0.09451576
ASV_362	0.038167	0.002216444	0.003508550	0.108776533
ASV_428	0.048889	0.01578945	0.02334413	0.10753211
ASV_486	0.043573	0.07171909	0.02920424	0.02979614
ASV_871	0.044232	0.08544394	0.02189610	0.02535703
ASV_641	0.047551	0.11020433	0.01276944	0.01967875
ASV_530	0.027971	0.0837755153	0.0000000000	0.0001386255
ASV_431	0.042147	0.02880988	0.02550254	0.07212994
ASV_331	0.039485	0.06378470	0.03429571	0.02037309
ASV_872	0.106255	0.0000000	0.3187653	0.0000000
ASV_757	0.043739	0.0010538260	0.1300495975	0.0001122849
ASV_593	0.04133	0.04924771	0.04320995	0.03153224
ASV_722	0.032711	0.00000000	0.09813329	0.00000000
ASV_587	0.046629	0.005173775	0.122567231	0.012144737
ASV_705	0.053731	0.03617429	0.05194626	0.07307314
