OTUID	All	CW	OW	PW
ASV_317	0.111951	0.10187179	0.07895075	0.15502915
ASV_372	0.088991	0.005230988	0.261743130	0.000000000
ASV_52	0.109941	0.09162505	0.08774184	0.15045715
ASV_180	0.122253	0.08508431	0.16560704	0.11606769
ASV_127	0.110619	0.24857948	0.02133514	0.06194190
ASV_288	0.154888	0.3618030	0.0000000	0.1028609
ASV_187	0.113913	0.05026137	0.09430755	0.19717055
ASV_804	0.115381	0.13192992	0.12704385	0.08716996
ASV_216	0.117043	0.06061707	0.18990535	0.10060583
ASV_257	0.111523	0.002330451	0.013876408	0.318363242
ASV_143	0.095391	0.05409692	0.21950128	0.01257522
ASV_149	0.09903	0.04605307	0.13386533	0.11717260
ASV_138	0.106144	0.06368096	0.10936506	0.14538525
ASV_243	0.111925	0.0000000000	0.3355814905	0.0001922537
ASV_210	0.108324	0.14157764	0.10075223	0.08264292
ASV_93	0.126638	0.1700207	0.1705036	0.0393885
ASV_245	0.104369	0.0181678782	0.0008335795	0.2941048437
ASV_223	0.095174	0.14065411	0.08191053	0.06295863
ASV_355	0.118506	0.1078982	0.1370603	0.1105580
ASV_94	0.10626	0.1701403	0.0351541	0.1134850
ASV_86	0.094839	0.02132148	0.02018766	0.24300798
ASV_352	0.090097	0.19495461	0.04302541	0.03231103
ASV_281	0.112053	0.04699562	0.04955469	0.23960837
ASV_185	0.114213	0.12746951	0.11624892	0.09891938
ASV_63	0.110187	0.11567404	0.08742018	0.12746710
ASV_376	0.108854	0.11890293	0.09504508	0.11261339
ASV_121	0.085194	0.053864863	0.002551296	0.199165047
ASV_278	0.09806	0.08293170	0.08494165	0.12630699
ASV_197	0.100641	0.08317121	0.06350728	0.15524315
ASV_410	0.094555	0.0000000	0.2836651	0.0000000
ASV_494	0.093675	0.280324078	0.000701046	0.000000000
ASV_182	0.08062	0.217150036	0.016752891	0.007958333
ASV_91	0.099059	0.005585339	0.147961694	0.143629205
ASV_70	0.148546	0.2854875	0.0566887	0.1034619
ASV_308	0.101111	0.16833764	0.06005708	0.07493714
ASV_378	0.101558	0.10336769	0.08450615	0.11679941
ASV_244	0.123123	0.32809833	0.02837073	0.01289934
ASV_344	0.099768	0.0036643755	0.0005522961	0.2950869170
ASV_345	0.083768	0.0000000000	0.2510262447	0.0002775881
ASV_61	0.122249	0.238496808	0.005823978	0.122427196
ASV_166	0.120238	0.26145052	0.04015030	0.05911442
ASV_57	0.083945	0.06133623	0.01910973	0.17138978
ASV_5237	0.075323	0.0000000	0.2259705	0.0000000
ASV_276	0.100991	0.08842267	0.12431610	0.09023295
ASV_501	0.08903	0.07943425	0.10102898	0.08662595
ASV_458	0.074657	0.0000000000	0.2235575269	0.0004121362
ASV_319	0.140758	0.413395762	0.000000000	0.008877324
