OTUID	All	CW	OW	PW
ASV1960	0.001411	0.0036233068	0.0006105134	0.0000000000
ASV146	0.001714	0.0000000000	0.0002052874	0.0049355093
ASV147	0.001608	0.000000000	0.004824253	0.000000000
ASV1907	0.001216	0.000000000	0.003647618	0.000000000
ASV1995	0.001371	0.004111984	0.000000000	0.000000000
ASV149	0.001638	0.0000000000	0.0003079311	0.0046064754
ASV150	0.001609	0.004827373	0.000000000	0.000000000
ASV152	0.001609	0.000000000	0.000000000	0.004825831
ASV345	0.00125	0.0005535382	0.0031979481	0.0000000000
ASV1996	0.001239	0.000000000	0.003715978	0.000000000
ASV154	0.001604	0.000000000	0.000000000	0.004812298
ASV2002	0.00125	0.000000000	0.003750297	0.000000000
ASV156	0.001451	0.000000000	0.001196256	0.003157555
ASV157	0.001425	0.004275042	0.000000000	0.000000000
ASV164	0.001343	0.000601294	0.001342861	0.002083882
ASV1882	0.001111	0.000000000	0.003332206	0.000000000
ASV2009	0.001111	0.000000000	0.003332206	0.000000000
ASV159	0.001379	0.000000000	0.000000000	0.004137486
ASV160	0.001289	0.000000000	0.003867307	0.000000000
ASV185	0.001342	0.002576722	0.000000000	0.001449978
ASV306	0.001153	0.0004290998	0.0030286215	0.0000000000
ASV2014	0.001255	0.000000000	0.000000000	0.003765135
ASV2015	0.001231	0.000000000	0.000000000	0.003692863
ASV2019	0.001074	0.000000000	0.003223064	0.000000000
ASV483	0.001116	0.00334745	0.00000000	0.00000000
ASV163	0.001221	0.000000000	0.003663764	0.000000000
ASV332	0.001142	0.000000000	0.000000000	0.003426354
ASV2022	0.001188	0.000000000	0.000000000	0.003564006
ASV104	0.001102	0.000000000	0.002219238	0.001087299
ASV165	0.001126	0.000000000	0.003377101	0.000000000
ASV166	0.001194	0.000000000	0.003581275	0.000000000
ASV167	0.001185	0.000000000	0.003555058	0.000000000
ASV168	0.001198	0.000000000	0.003592529	0.000000000
ASV169	0.0013	0.000207132	0.000000000	0.003693159
ASV171	0.001306	0.000000000	0.000000000	0.003916987
ASV255	0.001082	0.000000000	0.003247272	0.000000000
ASV527	0.001038	0.000000000	0.003114277	0.000000000
ASV172	0.001261	0.000000000	0.000000000	0.003782867
ASV472	0.000973	0.000000000	0.002919196	0.000000000
ASV2028	0.001007	0.000000000	0.003019581	0.000000000
ASV151	0.001196	0.000000000	0.000000000	0.003589415
ASV2029	0.000854	0.000000000	0.002561094	0.000000000
ASV2031	0.000977	0.002930926	0.000000000	0.000000000
ASV174	0.00117	0.000000000	0.000000000	0.003509696
ASV175	0.001086	0.000000000	0.003256679	0.000000000
ASV2033	0.000896	0.000000000	0.002687251	0.000000000
ASV178	0.001045	0.000000000	0.003133554	0.000000000
ASV2041	0.000939	0.0025831783	0.0002328267	0.0000000000
ASV180	0.001088	0.000000000	0.003262515	0.000000000
ASV181	0.001036	0.00310698	0.00000000	0.00000000
ASV183	0.001119	0.000000000	0.000000000	0.003357417
ASV825	0.000843	0.000000000	0.002527892	0.000000000
ASV2003	0.000888	0.002664478	0.000000000	0.000000000
ASV2043	0.000862	0.002586706	0.000000000	0.000000000
ASV184	0.000984	0.000000000	0.002951366	0.000000000
ASV297	0.000973	0.000000000	0.000000000	0.002920228
ASV2050	0.000858	0.002574408	0.000000000	0.000000000
ASV2051	0.000859	0.002575662	0.000000000	0.000000000
ASV186	0.000952	0.000000000	0.002855488	0.000000000
ASV187	0.001024	0.000000000	0.000000000	0.003070984
ASV188	0.001015	0.000000000	0.003045014	0.000000000
ASV189	0.00095	0.000000000	0.002849594	0.000000000
ASV2054	0.000846	0.000000000	0.000000000	0.002537032
ASV190	0.000987	0.000000000	0.000000000	0.002961306
ASV191	0.00098	0.000000000	0.000000000	0.002939793
ASV213	0.000907	0.001388426	0.001333797	0.000000000
ASV276	0.00094	0.000000000	0.000000000	0.002821495
ASV641	0.000776	0.000000000	0.002327914	0.000000000
ASV2058	0.000785	0.000000000	0.002354837	0.000000000
ASV2059	0.000799	0.002396039	0.000000000	0.000000000
ASV182	0.001017	0.000000000	0.000000000	0.003051514
ASV193	0.000836	0.000000000	0.002508703	0.000000000
ASV194	0.000882	0.000000000	0.002646052	0.000000000
ASV253	0.000888	0.0005368171	0.0007748670	0.0013528166
ASV324	0.00079	0.000000000	0.002368977	0.000000000
ASV2060	0.000747	0.002241812	0.000000000	0.000000000
ASV2064	0.000747	0.002241812	0.000000000	0.000000000
ASV1872	0.000704	0.000000000	0.002111351	0.000000000
ASV200	0.000895	0.000000000	0.000000000	0.002685934
ASV201	0.000871	0.000000000	0.000000000	0.002613149
ASV202	0.000814	0.000000000	0.002442509	0.000000000
ASV203	0.000816	0.000000000	0.002447561	0.000000000
ASV204	0.000816	0.000000000	0.002447561	0.000000000
ASV2074	0.00069	0.002069365	0.000000000	0.000000000
ASV205	0.00078	0.000000000	0.002340738	0.000000000
ASV206	0.000782	0.000000000	0.002345579	0.000000000
ASV207	0.000823	0.002469358	0.000000000	0.000000000
ASV208	0.00082	0.002460704	0.000000000	0.000000000
ASV210	0.000858	0.00000000	0.00000000	0.00257402
