OTUID	All	CC	OC	PC
ASV931	0.007145	0.019615324	0.001819861	0.000000000
ASV1840	0.00664	0.00000000	0.00000000	0.01992005
ASV932	0.007852	0.001579014	0.001655143	0.020321467
ASV1841	0.005543	0.00000000	0.01663027	0.00000000
ASV841	0.007015	0.0001676356	0.0000000000	0.0208778612
ASV933	0.00705	0.0000000000	0.0003213244	0.0208301357
ASV934	0.008408	0.01130131	0.01392406	0.00000000
ASV935	0.007694	0.0000000000	0.0002068928	0.0228744154
ASV843	0.012574	0.026105010	0.002318733	0.009298985
ASV936	0.007324	0.00000000	0.00000000	0.02197069
ASV937	0.006792	0.00000000	0.00000000	0.02037537
ASV1842	0.00631	0.00000000	0.00000000	0.01892975
ASV938	0.007557	0.00000000	0.00000000	0.02267018
ASV939	0.007406	0.0000000000	0.0003103393	0.0219069082
ASV940	0.00708	0.000525444	0.000000000	0.020714532
ASV1843	0.005794	0.0000000	0.0173823	0.0000000
ASV839	0.007457	0.002456942	0.019914558	0.000000000
ASV941	0.007286	0.000636724	0.000000000	0.021221051
ASV840	0.00706	0.0005114933	0.0000000000	0.0206685924
ASV1844	0.005942	0.00000000	0.00000000	0.01782622
ASV942	0.007046	0.00000000	0.00000000	0.02113841
ASV1845	0.005527	0.00000000	0.01658128	0.00000000
ASV943	0.007145	0.00113564	0.00000000	0.02029836
ASV844	0.00614	0.009333247	0.000000000	0.009085446
ASV944	0.006797	0.00000000	0.00000000	0.02038973
ASV945	0.006674	0.00000000	0.00000000	0.02002196
ASV856	0.005601	0.009692768	0.000000000	0.007109260
ASV1846	0.004758	0.00000000	0.01427491	0.00000000
ASV946	0.006402	0.000000000	0.011214111	0.007991405
ASV1847	0.005907	0.00000000	0.00000000	0.01772112
ASV1848	0.005574	0.00000000	0.00000000	0.01672269
ASV947	0.006373	0.001050888	0.000000000	0.018068594
ASV948	0.00632	0.00000000	0.00000000	0.01896096
ASV1849	0.004938	0.00000000	0.00000000	0.01481278
ASV949	0.006283	0.00000000	0.00000000	0.01884994
ASV950	0.006146	0.0002692283	0.0003933694	0.0177755900
ASV487	0.006705	0.00000000	0.02011368	0.00000000
ASV951	0.006374	0.000230639	0.000000000	0.018891816
ASV1851	0.004449	0.00000000	0.01334704	0.00000000
ASV1852	0.004458	0.00000000	0.01337394	0.00000000
ASV1853	0.005554	0.00000000	0.00000000	0.01666308
ASV1854	0.005528	0.00000000	0.00000000	0.01658509
ASV952	0.00697	0.02091094	0.00000000	0.00000000
ASV953	0.006229	0.00000000	0.00000000	0.01868758
ASV1855	0.005487	0.00000000	0.00000000	0.01646175
ASV954	0.005918	0.0002692283	0.0000000000	0.0174861738
ASV1856	0.005122	0.0000000	0.0000000	0.0153645
ASV955	0.006651	0.009456199	0.010496596	0.000000000
ASV1857	0.005379	0.00000000	0.00000000	0.01613684
ASV1826	0.004974	0.00000000	0.01492205	0.00000000
ASV1858	0.005289	0.00000000	0.00000000	0.01586789
ASV956	0.00573	0.00000000	0.00000000	0.01718958
ASV1859	0.004923	0.0000000	0.0000000	0.0147703
ASV957	0.005567	0.00000000	0.00000000	0.01670124
ASV958	0.005535	0.00000000	0.00000000	0.01660357
ASV959	0.005147	0.00000000	0.00000000	0.01543988
ASV1860	0.004051	0.00000000	0.01215159	0.00000000
ASV960	0.005404	0.002105352	0.000000000	0.014106711
ASV1861	0.004931	0.0000000	0.0000000	0.0147921
ASV1862	0.003955	0.00000000	0.01186398	0.00000000
ASV857	0.004907	0.005189378	0.009532232	0.000000000
ASV961	0.005328	0.0000000	0.0159825	0.0000000
ASV1864	0.004841	0.00000000	0.00000000	0.01452316
ASV1863	0.004299	0.00000000	0.01289655	0.00000000
ASV962	0.004875	0.00000000	0.00000000	0.01462579
ASV1865	0.004272	0.00000000	0.01281645	0.00000000
ASV963	0.005421	0.001268515	0.006206785	0.008787191
ASV1866	0.004462	0.00000000	0.01338506	0.00000000
ASV964	0.0054	0.0005765975	0.0000000000	0.0156240426
ASV1867	0.004738	0.00000000	0.00000000	0.01421288
ASV965	0.004857	0.0000000000	0.0002142162	0.0143563807
ASV966	0.004968	0.00000000	0.00000000	0.01490384
ASV1868	0.004442	0.00000000	0.00000000	0.01332722
