Class	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.657884966660231	2.20936084549572	1.2187214232272	1.24166113653033	1.38238870105428	0.755744625995037	0.600174096302744	0.753774875771179	2.91841136911559	2.29548024965442	1.83119129166808	1.43431263858093	2.18780278881665	1.93662793410798	3.78220329848011	1.27912354743597	1.91273161984459	0.575322023248508	1.73836377549323	1.37276396432309	1.96620813397129	0.921022334791619	1.28586736516252	2.66643429766469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_RC9_gut_group	8.086193326106	7.0508303975843	9.37733809959265	11.8892109950753	8.57747206075848	8.86751103806117	9.38058368076236	9.36697313776796	3.03376359714388	5.02380653178626	6.88561836617044	5.22219142645972	11.621473607347	8.20616920994913	9.3834213646653	9.06804648204891	8.46035066746364	10.2556550424128	4.96556542569119	8.53804374906572	9.20678827751196	10.1064489275403	4.19395166091201	1.92575810386894
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__dgA-11_gut_group	0.387602655300949	1.01660795168596	0.455565716185884	0.169396807656037	0.747822321413701	0.409294530922685	0.206166674302469	0.348080754735099	0	0.519415238972898	0.0898640170911187	0.106245380635625	1.47725836574783	0.268327966773998	0.363802953541015	0.0809388911371914	0.224148236700538	1.05050267043669	0.479089729513924	0.142010065274802	0.250448564593301	0.00177119679767619	0.16370996547208	0.232369001975137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_R-7_group	0.378692249431962	0.494883408824023	0.312577936653088	0.557088470538926	0.483003281091254	0.265880305520642	0.357355568790947	0.362484096310344	0.307990448835519	0.286236892444742	0.32893621350334	0.471175166297118	0.172721272801314	0.167996640067199	0.113183141101649	0.144533734173556	0.263996812113967	0.188501413760603	0.276141996872609	0.261597488664109	0.874700956937799	0.534901432898209	0.511965710203596	0.752294643894505
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_3	0.444035225804535	1.16591175977185	0.186216643112478	0.235758443645	0.146566512882863	0.351284282445454	0.334448160535117	0.372086324027174	0.175335386602992	0.363032156271381	0.342500593441622	0.688285291943828	0.188167890694115	0.0909981800363993	0.126657324566131	0.497196045557033	0.0772066148635186	0.0235626767200754	0.236217852746448	0.286511535203548	0.321471291866029	0.554384597672647	1.14596975830456	0.883002207505519
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium_10	0.138111290969304	0.1157523905385	0.177903400116385	0.185114037232371	0.0166552855548708	0.122466080118599	0.139735190360563	0.0936217202390955	0.156879030118467	0.298803390161829	0.127166061921394	0.233277900960828	0.696502043166276	0.237995240095198	0.0956667025978226	0.294848817714054	0.425881649731022	0.221881872447377	0.0282796020893635	0.0597937116946534	0.093450956937799	0.0230255583697905	0.208358137873556	0.098756825839433
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_AC2044_group	0.0356416234759493	0.011742996141587	0	0.0174635884181482	0.0116586998884096	0.0354507074027523	0.0549777798139918	0.0576133663009818	0.0911282601423447	0.12007986707438	0.211943436535657	0.33490391722099	0.249954362265317	0.0944981100377992	0.0229061118896195	0.036133433543389	0.122036262203626	0.0431982406534716	0.041587650131417	0.0996561861577557	0.257924641148325	0.00885598398838095	0.419692820573878	0.264319739746718
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group	0.0445520293449367	0.162724375104848	0.0182891345914041	0.370228074464741	0.019986342665845	0.0451190821489574	0.0503962981628259	0.0312072400796985	0.146497329595921	0.62273977575783	0.137339346875106	0.244826311899483	0.0547652816199289	0.0851649633673993	0.00673709173224103	0.0289067468347112	0.18180912532377	0.0333804586867735	0	0.0722507349643729	0.093450956937799	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	0.742533822415611	0.481462841805066	0.477180147975725	0.47500960497363	0.143235455771889	0.393180573012343	0.547487057314335	0.40569412103608	0.282612958669297	0.268085284631173	0.523924175116145	0.951589061345159	0.683863901253985	1.09781137710579	0.906812547159642	0.549228189859513	0.420900577804343	0.669572730128809	0.815117942575773	1.04888135931038	0.863486842105263	0.28339148762819	0.8185498273604	0.51411641686999
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella_4	2.32413086416086	1.91914108371079	0.970986781943636	1.69396807656037	0.136573341549941	1.96590286506172	2.12580748614102	2.18930791943731	0.617134419951321	0.762367528169899	1.9210553087592	2.24732076866223	1.06160392063247	0.559988800223996	0.898728037080953	1.65057524426201	0.518031480374577	1.10155513666353	0.582227101839838	1.243210922318	0.680322966507177	1.2717193007315	2.72056197166329	2.35564075752295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Unassigned	1.4984332536347	0.996477101157524	0.525396957353063	1.34818902588104	0.596259222864376	1.42930806664733	1.41338708938471	1.6491826103656	0.988568594202397	1.7676873455368	0.941028858218319	1.24029933481153	1.11356072627189	0.495823416864996	0.518756063382559	0.920679886685552	0.754632396891811	0.816839459629281	0.41587650131417	0.682644875180627	0.717703349282297	0.354239359535238	0.782831289439219	0.662251655629139
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium_1	0.0103954735138186	0.169434658614326	0.538698146146812	0.487234116866334	0.184873669659066	0.00805697895517097	0.0274888899069959	0.0288066831504909	0.0934353047029103	0.304388500258311	0.052561972260843	0.0993163340724316	0.136211085054695	0.0256661533435998	0.00269483669289641	0.0202347227842979	0.0871687587168759	0.210100534087339	0.0216255780683368	0.0523194977328218	0.0485944976076555	0.0584494943233143	0.0208358137873556	0.0406645753456489
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminiclostridium_5	0.295528461321413	0.66096292568361	0.693324465874137	0.490726834549963	0.466347995536384	0.285217055013052	0.171805561918725	0.240055692920758	0.725565514297909	0.571077507365364	0.549357387500424	0.655949741315595	0.329995927709828	0.514489710205796	0.301821709604398	0.380123720876453	0.283921099820681	0.25526233113415	0.409222477293143	0.695101898450346	0.575657894736842	0.465824757788838	0.568520061912132	0.238178227024515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-002	0.415818940552742	0.154336520718	0.0798071327624907	0.0995424539834445	0.231508469212705	0.435076863579232	0.332157419709534	0.244856806779173	0.526006159808977	0.224800681383432	0.334022855980196	0.295639320029564	0.325783213739065	0.530822716878996	0.939150587474399	0.638839105047118	0.363618250647539	0.757932767829092	0.187976178594005	0.667696447256964	0.463516746411483	1.08751483377318	0.833432551494226	0.636110142906936
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-005	11.8998470380326	4.17715148465023	11.1131432371768	9.60497362998149	16.7185756399793	12.6994102291405	16.9812617400467	15.8220707204071	12.3484560104278	7.77028442173166	8.80158703245278	10.4536215816704	6.51566427478129	6.84819636940595	6.43931227767597	6.47655662831705	7.00587766487348	9.64891611687088	9.52856239811026	12.2626937067118	12.3430023923445	12.777413698436	8.15275628050959	7.83373997908679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-009	0.285132987807595	0.444556282502936	0.251059938482002	0.309105515001222	0.381406039206542	0.272325888684779	0.164933339441976	0.264061262212833	0.311451015676368	0.379787486560829	0.791820678897216	0.782982261640798	0.0884669933860391	0.204162583414998	0.284305271100571	0.30930219113141	0.229129308627217	0.196355639333962	0.103137372325914	0.28152872589566	0.205592105263158	0.196602844542057	0.267889034408858	0.258510514697339
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-013	1.52961967417616	0.874014427109545	1.08072158949206	1.01987356361985	0.901050948518512	1.4325308582294	1.47981857332661	1.93004777108289	1.76027499971162	1.08211508119354	1.68876530231612	1.67451958610495	0.761096990717987	0.761818096971394	1.7300851568395	0.557900213909927	0.68738792588165	0.706880301602262	1.432278670526	1.50729981563606	1.92135167464115	0.795267362156609	1.50017859268961	1.84733356570234
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-014	0.175237982090084	0.0134205670189565	0.457228364785103	0.227026649435926	0.0233173997768192	0.201424473879274	0.151188894488478	0.110425618743548	0.304529881994671	0.12007986707438	0.203465699074231	0.170916481892092	0.0744246134834932	0.104997900041999	0.110488304408753	0.0390241082268602	0.0647539350468221	0	0.113118408357454	0.151975683890578	0.198116028708134	0.00354239359535238	0.0595308965353018	0.0871383757406762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Unassigned	0.103954735138186	0.38751887267237	0.216144317898412	0.206070343334148	0.228177412101731	0.156305391730317	0.0985018555000687	0.108025061814341	0.0680578145366878	0.0837766514472417	0.139034894367391	0.115484109386548	0.10391361127884	0.0804983900321994	0.0646760806295139	0.132971035439672	0.0448296473401076	0.0431982406534716	0.0748577702365506	0.0722507349643729	0.0299043062200957	0.0797038558954285	0.0803667103226575	0.0174276751481352
