Class	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Unassigned|Unassigned|Unassigned|Unassigned|Acidaminococcaceae|Phascolarctobacterium	0.392045454545455	0.561811749464348	0.2872638690996	0.444102826885302	0.342604959061611	0.322472848788638	0.444438252340615	0.0650739053639491	0.987601539119282	0.55870594335993	0.0719446964246614	0.300429184549356	0.666711382386478	0.51275231255726	0.196007259528131	1.04012287461939	0.780725022104332	0.366110021966601	0.149134723288642	0.179545454545455	0.188994049640468	0.25706940874036	0.190530627798419	0.101983580643516	0.526589246345471	0.856316207009193	0.44330063598146	1.48291611262069	1.63130105598725	0.838438579956016	0.271151478856839	0.343813842244257	0.220544258373206	0.230255583697905	0.470294082628884	0.685488555826653
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidaceae|Bacteroides	1.3844696969697	1.45373461557626	3.04499701245576	2.71073533179605	2.08176064107775	2.02673350041771	2.06336379848417	2.20786464627684	3.1722958529286	4.2521871497633	4.40113860302168	2.36909871244635	1.87135287410289	2.02441114756036	1.64500907441016	1.35269866077443	1.59858532272325	2.22736613364197	1.40718209202055	1.39318181818182	4.03236523100093	3.13669778559509	1.72668381442317	0.894905920146856	2.03614508586915	3.02860609454478	1.68023067802091	1.24443545123432	1.7359035664475	1.88108702481935	3.05918754366703	1.23573670835617	2.28767942583732	0.674825979914628	0.750089296344803	1.68757987684443
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_BS11_gut_group|Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0.0576832785565766	0	0	0	0.0344827586206897	0.0188960011337601	0.00442974425609828	0.00227272727272727	0	0	0	0.0101983580643516	1.07283782455451	0.249661673433198	0.361108116848119	0	0.278940027894003	0	1.25262002195828	0.154467088544521	0.0485944976076555	0.108043004658248	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_Incertae_Sedis|Phocaeicola	0	0	0	0	0	0	0	0	2.09063702436939	0.0736019805623861	0	1.66094420600858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_S24-7_group|Unassigned	0.263257575757576	0.0610394140216254	0.514776853426483	1.16149970108464	0.731664827826491	0.614870509607352	0.0125390102541239	0.102258994143349	0	2.82698516250983	0.00625606055866621	0.0729613733905579	0	1.25306617016875	0	1.16811726981219	0	0	1.19898411198393	0.804545454545455	0	0	0	0.323797868543165	0	1.83629660740119	0.897380618734505	3.03231774296121	1.45945407451684	0.380929940307886	0.379279369198523	0.782301061338383	0.755083732057416	0.651800421544838	5.72091915704251	0.29336586499361
Unassigned|Unassigned|Unassigned|Unassigned|Christensenellaceae|Christensenellaceae_R-7_group	0.147727272727273	0.171906921122129	0.101116881923059	0.140063199248441	0.447128505893967	0.135338345864662	0.250780205082479	0.264943757553221	0.423257802479692	0.158913367123334	0.206449998435985	0.377682403433476	0.0804882956603394	0.0842273251174749	0.392014519056261	0.243863005577861	0.129089301503095	0.191322011479321	0.307128935089481	0.25	0.42671312770387	0.527668786361791	0.507287796513289	0.214165519351384	0.10391361127884	0.151663633393999	0.106446049369408	0.121408336705787	0.231619844590556	0.157084511467169	0.229563828725422	0.239174846778614	0.844796650717703	0.410917657060876	0.443505179187999	0.650633205530382
Unassigned|Unassigned|Unassigned|Unassigned|Enterobacteriaceae|Escherichia-Shigella	0	0.0772335442722607	0.360803419589098	0	0.0348411822774519	0	0.0626950512706197	0	1.16716545532279	0.294407922249544	1.92373862178986	0.0429184549356223	0	0	0	0	0.0017683465959328	0	0	0.00454545454545455	0	0	0	0.00254958951608791	0	0	0.00134741834644821	0	0	0	0.0133080480420534	0	0	0.00885598398838095	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Fibrobacteraceae|Fibrobacter	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Coprococcus_3	0.00757575757575758	0.0261597488664109	0.0183848876223744	0.0358698437099667	0.0348411822774519	0.0384294068504595	0.064088274632189	0.125499674630473	0.0427533133817871	0.0434920794232281	0.0875848478213269	0.0643776824034335	0.00670735797169495	0.0162543960753022	0.0203266787658802	0.013473094230821	0.00442086648983201	0.0212580012754801	0.0280550469552891	0.0181818181818182	0.218524369896792	0.214224507283633	0.20958369057826	0	0	0.0466657333519996	0.0619812439366174	0.364225010117361	0.0523012552301255	0.00981778196669808	0.204611238646571	0.159449897852409	0.231758373205742	0.364866540321295	0.898916537683058	0.339839665388637
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Lachnoclostridium_10	0.473484848484849	0.478349693557228	0.243599760996461	0.464599880433854	0.0464549097032693	0.200501253132832	0.117030762371823	0.0836664497536488	0.0940572894399316	0.326190595674211	0.165785604804655	0.150214592274678	0.495003018311087	0.291101456984957	0.281669691470054	0.645361213656328	0.563218390804598	0.323594019415641	0.442974425609828	0.436363636363636	0.0620136725382787	0.0901997925404772	0.030961227017243	0.198867982254857	0.696502043166276	0.237995240095198	0.0956667025978226	0.294848817714054	0.425881649731022	0.221881872447377	0.0282796020893635	0.0597937116946534	0.093450956937799	0.0230255583697905	0.208358137873556	0.098756825839433
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Lachnospiraceae_AC2044_group	0.0397727272727273	0.0186855349045792	0.101116881923059	0.362114612691092	0.121944137971082	0.0918964076858814	0.0181119037004012	0.171981035604722	0.367678495083369	0.630635151636808	1.14485908223592	0.459227467811159	0.0630491649339325	0.0738836185241008	0.0725952813067151	0.0970062784619116	0.0450928381962865	0.0873940052436403	0.184572677337428	0.168181818181818	0.248054690153115	0.209714517656609	0.164332666476136	0.0790372749987252	0.249954362265317	0.0944981100377992	0.0229061118896195	0.036133433543389	0.122036262203626	0.0431982406534716	0.041587650131417	0.0996561861577557	0.257924641148325	0.00885598398838095	0.419692820573878	0.264319739746718
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Roseburia	1.21401515151515	0.949225173152624	0.0827319943006848	1.07267913570758	0.211950525521166	0.299081035923141	0.753733838609006	0.762294319977689	0.205215904232578	0.264298021110386	0.347211361005975	0.274678111587983	0.529881279763901	1.44368590596093	0.403629764065336	0.626498881733179	0.68788682581786	1.15501806930108	0.497607938101707	0.413636363636364	0.761882262613138	0.868173003202093	0.583500047632657	0.566008872571516	0.683863901253985	1.09781137710579	0.906812547159642	0.549228189859513	0.420900577804343	0.669572730128809	0.815117942575773	1.04888135931038	0.863486842105263	0.28339148762819	0.8185498273604	0.51411641686999
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Tyzzerella_4	0.289772727272727	0.723753051970701	0.142482879073402	0.216927150055513	0.325184367922885	0.623224728487886	1.15637539010254	1.10625639118713	0.371953826421548	0.217460397116141	0.681910600894617	0.879828326180258	0.572808370782749	0.55708248367172	0.347005444646098	0.246557624424025	0.689655172413793	0.628292037697522	0.630500265784655	0.522727272727273	2.67397049921006	1.70477607901502	1.61712870343908	0.175921676610066	1.05598696867145	0.534322646880396	0.870432251805541	1.35572642654796	0.351165570830843	1.0505026704367	0.402568453272116	1.17594299666152	0.497159090909091	1.10345560495227	2.57768781997857	2.22493319391193
Unassigned|Unassigned|Unassigned|Unassigned|Lachnospiraceae|Unassigned	0.689393939393939	0.497035228461807	0.546950406765639	1.14441882312751	0.58358980314732	0.481203007518797	0.409607668301382	0.36720275169657	0.589995724668662	1.97554406918586	1.83928180424787	1.01287553648069	0.440002682943189	0.265981026686763	0.434119782214156	0.510630271348118	0.519009725906278	0.531450031887002	0.809166617447286	0.765909090909091	1.30524015532948	0.87719298245614	0.657330665904544	0.568558462087604	0.978753879207448	0.296327406785198	0.351676188422982	0.721223333526045	0.821876867901973	0.675463399308828	0.259506936820042	0.33883103293637	0.4373504784689	0.210772418923467	0.619121323967139	0.485070291623098
Unassigned|Unassigned|Unassigned|Unassigned|Methanobacteriaceae|Methanobrevibacter	0.397727272727273	5.31292042453535	0.507882520568093	0.365530788282518	1.17298647000755	0.949039264828738	0.0236847971466786	0.436924793157944	0.615647712697734	0.184004951405965	0.447308329944634	0.59656652360515	0.178415722047086	0.954576351331383	0.0116152450090744	0.123952466923554	0.0530503978779841	0.212580012754801	0.0841651408658673	0.225	1.2698037710219	0.847878049880485	0.878822520720206	0.107082759675692	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
Unassigned|Unassigned|Unassigned|Unassigned|Micrococcaceae|Arthrobacter	0.00189393939393939	0.00124570232697195	0.0045962219055936	0.0017080877957127	2.81342546890424	0.100250626566416	0.00139322336156933	0.0371850887793995	1.30825138948268	0.265970793395895	0.0125121211173324	0.236051502145923	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351	0	0.00233328666759998	0.00943192842513744	0.023125397467769	0	0.025526233113415	0.0232890840735935	0.069759330310429	0.0112141148325359	0.00885598398838095	0.0833432551494226	0
